Gregorian_date,lunar_date,hour,light.dark,study_time,colony_id,tank_id,system,RO,total_RO,per.release,prop.release
2022-3-2,2022-1-30,4,dark,10,RAS_colony8,RAS_tank2,RAS,8,57,14.03508772,0.140350877
2022-3-2,2022-1-30,5,dark,11,RAS_colony8,RAS_tank2,RAS,8,57,14.03508772,0.140350877
2022-3-2,2022-1-30,6,dark,12,RAS_colony8,RAS_tank2,RAS,6,57,10.52631579,0.105263158
2022-3-2,2022-1-30,7,light,13,RAS_colony8,RAS_tank2,RAS,4,57,7.01754386,0.070175439
2022-3-2,2022-1-30,8,light,14,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,9,light,15,RAS_colony8,RAS_tank2,RAS,2,57,3.50877193,0.035087719
2022-3-2,2022-1-30,10,light,16,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,11,light,17,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,12,light,18,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,13,light,19,RAS_colony8,RAS_tank2,RAS,2,57,3.50877193,0.035087719
2022-3-2,2022-1-30,14,light,20,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,15,light,21,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,16,light,22,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,17,light,23,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,18,light,24,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,19,dark,25,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,20,dark,26,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,21,dark,27,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,22,dark,28,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-2,2022-1-30,23,dark,29,RAS_colony8,RAS_tank2,RAS,1,57,1.754385965,0.01754386
2022-3-2,2022-1-30,00,dark,30,RAS_colony8,RAS_tank2,RAS,1,57,1.754385965,0.01754386
2022-3-3,2022-1-31,1,dark,31,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,2,dark,32,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,3,dark,33,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,4,dark,34,RAS_colony8,RAS_tank2,RAS,1,57,1.754385965,0.01754386
2022-3-3,2022-1-31,5,dark,35,RAS_colony8,RAS_tank2,RAS,1,57,1.754385965,0.01754386
2022-3-3,2022-1-31,6,dark,36,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,7,light,37,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,8,light,38,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,9,light,39,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,10,light,40,RAS_colony8,RAS_tank2,RAS,1,57,1.754385965,0.01754386
2022-3-3,2022-1-31,11,light,41,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,12,light,42,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,13,light,43,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,14,light,44,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,15,light,45,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,16,light,46,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,17,light,47,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-3,2022-1-31,18,light,48,RAS_colony8,RAS_tank2,RAS,0,57,0,0
2022-3-1,2022-1-29,19,dark,1,RAS_colony14,RAS_tank2,RAS,4,58,6.896551724,0.068965517
2022-3-1,2022-1-29,20,dark,2,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-1,2022-1-29,21,dark,3,RAS_colony14,RAS_tank2,RAS,2,58,3.448275862,0.034482759
2022-3-1,2022-1-29,22,dark,4,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-1,2022-1-29,23,dark,5,RAS_colony14,RAS_tank2,RAS,2,58,3.448275862,0.034482759
2022-3-2,2022-1-30,00,dark,6,RAS_colony14,RAS_tank2,RAS,4,58,6.896551724,0.068965517
2022-3-2,2022-1-30,1,dark,7,RAS_colony14,RAS_tank2,RAS,5,58,8.620689655,0.086206897
2022-3-2,2022-1-30,2,dark,8,RAS_colony14,RAS_tank2,RAS,3,58,5.172413793,0.051724138
2022-3-2,2022-1-30,3,dark,9,RAS_colony14,RAS_tank2,RAS,1,58,1.724137931,0.017241379
2022-3-2,2022-1-30,4,dark,10,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,5,dark,11,RAS_colony14,RAS_tank2,RAS,10,58,17.24137931,0.172413793
2022-3-2,2022-1-30,6,dark,12,RAS_colony14,RAS_tank2,RAS,6,58,10.34482759,0.103448276
2022-3-2,2022-1-30,7,light,13,RAS_colony14,RAS_tank2,RAS,6,58,10.34482759,0.103448276
2022-3-2,2022-1-30,8,light,14,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,9,light,15,RAS_colony14,RAS_tank2,RAS,1,58,1.724137931,0.017241379
2022-3-2,2022-1-30,10,light,16,RAS_colony14,RAS_tank2,RAS,1,58,1.724137931,0.017241379
2022-3-2,2022-1-30,11,light,17,RAS_colony14,RAS_tank2,RAS,1,58,1.724137931,0.017241379
2022-3-2,2022-1-30,12,light,18,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,13,light,19,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,14,light,20,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,15,light,21,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,16,light,22,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,17,light,23,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,18,light,24,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,19,dark,25,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,20,dark,26,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,21,dark,27,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,22,dark,28,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-2,2022-1-30,23,dark,29,RAS_colony14,RAS_tank2,RAS,2,58,3.448275862,0.034482759
2022-3-2,2022-1-30,00,dark,30,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,1,dark,31,RAS_colony14,RAS_tank2,RAS,1,58,1.724137931,0.017241379
2022-3-3,2022-1-31,2,dark,32,RAS_colony14,RAS_tank2,RAS,0,58,0,0
2022-3-3,2022-1-31,3,dark,33,RAS_colony14,RAS_tank2,RAS,0,58,0,0
